                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1464,                 1.9843,                 1.0747,                 1.1757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00038,                0.00038,                0.00038
                      2,                0.90429,                 1.1884,                0.70277,                 1.0451,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00074139,             0.00074139,             0.00074139
                      3,                0.95807,                 1.0937,                0.68784,                 1.0888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010632,              0.0010632,              0.0010632
                      4,                0.92493,                 1.1115,                0.62116,                 1.0628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0013454,              0.0013454,              0.0013454
                      5,                0.92263,                 1.1017,                0.60899,                 1.0786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001588,               0.001588,               0.001588
                      6,                0.91591,                   1.05,                0.59009,                 1.0797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                      7,                0.81665,                  1.035,                0.57549,                  1.032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      8,                0.83168,                 1.0325,                0.53178,                  1.029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                      9,                0.77867,                0.97768,                0.51011,                 1.0162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     10,                 0.7953,                 1.0044,                0.49959,                 1.0232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                0.80777,                0.98761,                0.54585,                 1.0099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                0.76823,                0.89657,                0.49482,                 0.9749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                0.77151,                   0.94,                0.47752,                0.98968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                0.69881,                0.88504,                0.42379,                0.95936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     15,                0.69336,                0.86905,                0.41628,                0.97191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     16,                0.68231,                0.87066,                0.41543,                0.93334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     17,                0.63599,                0.81444,                0.40149,                0.95056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     18,                0.61688,                0.79044,                0.39574,                0.92566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     19,                0.57532,                0.78052,                0.37666,                0.92875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     20,                0.55958,                0.79443,                 0.3431,                0.92385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
